,icao,airport name,city
0,EDAC,Altenburg-Nobitz Airport,Altenburg
1,EDAZ,Schonhagen Airport,Trebbin
2,EDBH,Barth Airport,Barth
3,EDBW,Werneuchen Airport,Werneuchen
4,EDDB,Berlin Brandenburg Airport,Berlin
5,EDDC,Dresden Airport,Dresden
6,EDDE,Erfurt Airport,Erfurt
7,EDDF,Frankfurt am Main International Airport,Frankfurt-am-Main
8,EDDG,Munster Osnabruck Airport,Munster
9,EDDH,Hamburg Airport,Hamburg
10,EDDK,Cologne Bonn Airport,Cologne
11,EDDL,Dusseldorf International Airport,Dusseldorf
12,EDDM,Munich International Airport,Munich
13,EDDN,Nuremberg Airport,Nuremberg
14,EDDP,Leipzig Halle Airport,Leipzig
15,EDDR,Saarbrucken Airport,Saarbrucken
16,EDDS,Stuttgart Airport,Stuttgart
17,EDDT,Berlin-Tegel International Airport,Berlin
18,EDDV,Hannover Airport,Hannover
19,EDDW,Bremen Airport,Bremen
20,EDFE,Frankfurt-Egelsbach Airport,Egelsbach
21,EDFH,Frankfurt-Hahn Airport,Hahn
22,EDFM,Mannheim-City Airport,Mannheim
23,EDFZ,Mainz-Finthen Airport,Mainz
24,EDGS,Siegerland Airport,Siegerland
25,EDHI,Hamburg-Finkenwerder Airport,Hamburg
26,EDHL,Lubeck Blankensee Airport,Lubeck
27,EDJA,Memmingen Allgau Airport,Memmingen
28,EDLE,Essen Mulheim Airport,Essen
29,EDLN,Monchengladbach Airport,Monchengladbach
30,EDLP,Paderborn Lippstadt Airport,Paderborn
31,EDLW,Dortmund Airport,Dortmund
32,EDMA,Augsburg Airport,Augsburg
33,EDML,Landshut Airport,Landshut
34,EDMO,Oberpfaffenhofen Airport,Oberpfaffenhofen
35,EDMS,Straubing Airport,Straubing
36,EDMV,Vilshofen Airport,Vilshofen
37,EDNY,Friedrichshafen Airport,Friedrichshafen
38,EDPA,Aalen-Heidenheim/Elchingen Airport,Aalen
39,EDQM,Hof-Plauen Airport,Hof
40,EDRK,Koblenz-Winningen Airport,Koblenz
41,EDRY,Speyer Airport,Speyer
42,EDRZ,Zweibrucken Airport,Zweibrucken
43,EDSB,Karlsruhe Baden-Baden Airport,Baden-Baden
44,EDTL,Lahr Airport,Lahr
45,EDTM,Mengen-Hohentengen Airport,Mengen
46,EDTY,Adolf Wurth Airport,Schwabisch Hall
47,EDVE,Braunschweig Wolfsburg Airport,Braunschweig
48,EDVK,Kassel-Calden Airport,Kassel
49,EDWO,Osnabruck-Atterheide Airport,Osnabruck
50,EDXW,Westerland Sylt Airport,Westerland
