,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
0,Leipzig,Cologne,360.623,1796.0,16.048
1,Cologne,Leipzig,360.623,1796.0,16.048
2,Leipzig,Frankfurt-am-Main,300.753,1796.0,13.384
3,Cologne,Berlin,469.266,1796.0,20.882
4,Cologne,Munich,435.688,1796.0,19.388
5,Leipzig,Munich,342.888,1796.0,15.259
6,Leipzig,Stuttgart,372.387,1796.0,16.571
7,Hannover,Hamburg,131.683,1796.0,5.86
8,Cologne,Stuttgart,284.269,1796.0,12.65
9,Hannover,Munich,480.251,1796.0,21.371
10,Munster,Munich,511.488,436.0,22.761
11,Munich,Frankfurt-am-Main,299.073,1796.0,13.309
12,Stuttgart,Berlin,516.935,1796.0,23.004
13,Dresden,Munich,340.373,1796.0,15.147
14,Bremen,Munich,562.91,1796.0,25.049
15,Stuttgart,Munich,192.499,1796.0,8.566
16,Hamburg,Frankfurt-am-Main,411.635,1796.0,18.318
17,Paderborn,Munich,427.442,436.0,19.021
18,Frankfurt-am-Main,Berlin,431.689,1796.0,19.21
19,Hannover,Frankfurt-am-Main,280.756,1796.0,12.494
20,Munich,Berlin,479.569,1796.0,21.341
21,Frankfurt-am-Main,Munich,299.073,1796.0,13.309
22,Berlin,Munich,479.569,1796.0,21.341
23,Hamburg,Munich,599.997,1796.0,26.7
24,Munich,Hamburg,599.997,1796.0,26.7
25,Dusseldorf,Frankfurt-am-Main,188.621,1796.0,8.394
26,Berlin,Dusseldorf,469.707,1796.0,20.902
27,Dusseldorf,Berlin,469.707,1796.0,20.902
28,Munich,Cologne,435.688,1796.0,19.388
29,Dusseldorf,Stuttgart,337.664,1796.0,15.026
30,Dusseldorf,Munich,485.703,1796.0,21.614
31,Frankfurt-am-Main,Hamburg,411.635,1796.0,18.318
32,Berlin,Frankfurt-am-Main,431.689,1796.0,19.21
33,Nuremberg,Frankfurt-am-Main,189.644,1796.0,8.439
34,Berlin,Stuttgart,516.935,1796.0,23.004
35,Berlin,Baden-Baden,557.711,436.0,24.818
36,Dresden,Frankfurt-am-Main,386.746,1796.0,17.21
37,Munich,Hannover,480.251,1796.0,21.371
38,Hamburg,Nuremberg,465.54,1796.0,20.717
39,Cologne,Dresden,464.421,1796.0,20.667
40,Bremen,Frankfurt-am-Main,335.494,1796.0,14.929
41,Dusseldorf,Leipzig,380.742,1796.0,16.943
42,Berlin,Cologne,463.183,1796.0,20.612
43,Stuttgart,Hannover,420.5,1796.0,18.712
44,Hamburg,Dusseldorf,340.787,1796.0,15.165
45,Munich,Dusseldorf,485.703,1796.0,21.614
46,Stuttgart,Dusseldorf,337.664,1796.0,15.026
47,Saarbrucken,Berlin,570.784,436.0,25.4
48,Frankfurt-am-Main,Bremen,335.494,1796.0,14.929
49,Dortmund,Munich,461.418,1796.0,20.533
50,Munster,Frankfurt-am-Main,241.713,436.0,10.756
51,Stuttgart,Frankfurt-am-Main,156.642,1796.0,6.971
52,Friedrichshafen,Frankfurt-am-Main,271.501,436.0,12.082
53,Munich,Munster,511.488,436.0,22.761
54,Frankfurt-am-Main,Hannover,280.756,1796.0,12.494
55,Frankfurt-am-Main,Dresden,386.746,1796.0,17.21
56,Hamburg,Cologne,363.277,1796.0,16.166
57,Kassel,Hamburg,248.965,436.0,11.079
58,Dusseldorf,Hamburg,340.787,1796.0,15.165
59,Frankfurt-am-Main,Leipzig,300.753,1796.0,13.384
60,Munich,Bremen,562.91,1796.0,25.049
61,Frankfurt-am-Main,Stuttgart,156.642,1796.0,6.971
62,Stuttgart,Dresden,423.947,1796.0,18.866
63,Nuremberg,Berlin,373.772,1796.0,16.633
64,Frankfurt-am-Main,Nuremberg,189.644,1796.0,8.439
65,Stuttgart,Braunschweig,414.484,436.0,18.445
66,Stuttgart,Leipzig,372.387,1796.0,16.571
67,Saarbrucken,Hamburg,529.934,436.0,23.582
68,Hamburg,Stuttgart,551.919,1796.0,24.56
69,Friedrichshafen,Dusseldorf,447.894,436.0,19.931
70,Stuttgart,Bremen,485.492,1796.0,21.604
71,Friedrichshafen,Hamburg,663.448,436.0,29.523
72,Stuttgart,Hamburg,551.919,1796.0,24.56
73,Munich,Dresden,340.373,1796.0,15.147
74,Munich,Paderborn,427.442,436.0,19.021
75,Munich,Leipzig,342.888,1796.0,15.259
76,Munich,Stuttgart,192.499,1796.0,8.566
77,Dresden,Cologne,464.421,1796.0,20.667
78,Hannover,Stuttgart,420.5,1796.0,18.712
79,Nuremberg,Hamburg,465.54,1796.0,20.717
80,Munich,Nuremberg,137.395,1796.0,6.114
81,Stuttgart,Hahn,199.236,436.0,8.866
82,Leipzig,Dusseldorf,380.742,1796.0,16.943
83,Munich,Dortmund,461.418,1796.0,20.533
84,Munich,Lahr,292.418,436.0,13.013
85,Baden-Baden,Berlin,557.711,436.0,24.818
86,Berlin,Nuremberg,373.772,1796.0,16.633
87,Berlin,Saarbrucken,570.784,436.0,25.4
88,Cologne,Hamburg,363.277,1796.0,16.166
89,Bremen,Stuttgart,485.492,1796.0,21.604
90,Dresden,Stuttgart,423.947,1796.0,18.866
91,Hamburg,Friedrichshafen,663.448,436.0,29.523
92,Frankfurt-am-Main,Munster,241.713,436.0,10.756
93,Frankfurt-am-Main,Friedrichshafen,271.501,436.0,12.082
94,Hamburg,Saarbrucken,529.934,436.0,23.582
95,Frankfurt-am-Main,Dusseldorf,188.621,1796.0,8.394
96,Nuremberg,Munich,137.395,1796.0,6.114
97,Dusseldorf,Friedrichshafen,447.894,436.0,19.931
98,Frankfurt-am-Main,Paderborn,175.811,436.0,7.824
99,Berlin,Leipzig,135.686,1796.0,6.038
100,Dusseldorf,Dresden,488.487,1796.0,21.738
101,Paderborn,Munster,86.261,436.0,3.839
102,Egelsbach,Trebbin,402.162,436.0,17.896
103,Paderborn,Frankfurt-am-Main,175.811,436.0,7.824
104,Munster,Westerland,311.826,436.0,13.876
105,Frankfurt-am-Main,Westerland,542.667,436.0,24.149
106,Dusseldorf,Nuremberg,364.744,1796.0,16.231
107,Speyer,Cologne,197.352,436.0,8.782
108,Dusseldorf,Hannover,239.902,1796.0,10.676
109,Dresden,Dusseldorf,488.487,1796.0,21.738
110,Mannheim,Hamburg,473.369,436.0,21.065
111,Berlin,Oberpfaffenhofen,501.407,436.0,22.313
112,Nuremberg,Dusseldorf,364.744,1796.0,16.231
113,Kassel,Munster,141.772,436.0,6.309
114,Hamburg,Mannheim,473.369,436.0,21.065
