,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
0,Leipzig,Cologne,360.623,295.0,11.54
1,Cologne,Leipzig,360.623,295.0,11.54
2,Leipzig,Frankfurt-am-Main,300.753,295.0,9.624
3,Cologne,Berlin,469.266,295.0,15.017
4,Cologne,Munich,435.688,295.0,13.942
5,Leipzig,Munich,342.888,295.0,10.972
6,Leipzig,Stuttgart,372.387,295.0,11.916
7,Hannover,Hamburg,131.683,295.0,4.214
8,Cologne,Stuttgart,284.269,295.0,9.097
9,Hannover,Munich,480.251,295.0,15.368
10,Munster,Munich,511.488,389.0,16.368
11,Munich,Frankfurt-am-Main,299.073,295.0,9.57
12,Stuttgart,Berlin,516.935,295.0,16.542
13,Dresden,Munich,340.373,295.0,10.892
14,Bremen,Munich,562.91,295.0,18.013
15,Stuttgart,Munich,192.499,295.0,6.16
16,Hamburg,Frankfurt-am-Main,411.635,295.0,13.172
17,Paderborn,Munich,427.442,389.0,13.678
18,Frankfurt-am-Main,Berlin,431.689,295.0,13.814
19,Hannover,Frankfurt-am-Main,280.756,295.0,8.984
20,Munich,Berlin,479.569,295.0,15.346
21,Frankfurt-am-Main,Munich,299.073,295.0,9.57
22,Berlin,Munich,479.569,295.0,15.346
23,Hamburg,Munich,599.997,295.0,19.2
24,Munich,Hamburg,599.997,295.0,19.2
25,Dusseldorf,Frankfurt-am-Main,188.621,295.0,6.036
26,Berlin,Dusseldorf,469.707,295.0,15.031
27,Dusseldorf,Berlin,469.707,295.0,15.031
28,Munich,Cologne,435.688,295.0,13.942
29,Dusseldorf,Stuttgart,337.664,295.0,10.805
30,Dusseldorf,Munich,485.703,295.0,15.542
31,Frankfurt-am-Main,Hamburg,411.635,295.0,13.172
32,Berlin,Frankfurt-am-Main,431.689,295.0,13.814
33,Nuremberg,Frankfurt-am-Main,189.644,295.0,6.069
34,Berlin,Stuttgart,516.935,295.0,16.542
35,Berlin,Baden-Baden,557.711,389.0,17.847
36,Dresden,Frankfurt-am-Main,386.746,295.0,12.376
37,Munich,Hannover,480.251,295.0,15.368
38,Hamburg,Nuremberg,465.54,295.0,14.897
39,Cologne,Dresden,464.421,295.0,14.861
40,Bremen,Frankfurt-am-Main,335.494,295.0,10.736
41,Dusseldorf,Leipzig,380.742,295.0,12.184
42,Berlin,Cologne,463.183,295.0,14.822
43,Stuttgart,Hannover,420.5,295.0,13.456
44,Hamburg,Dusseldorf,340.787,295.0,10.905
45,Munich,Dusseldorf,485.703,295.0,15.542
46,Stuttgart,Dusseldorf,337.664,295.0,10.805
47,Saarbrucken,Berlin,570.784,389.0,18.265
48,Frankfurt-am-Main,Bremen,335.494,295.0,10.736
49,Dortmund,Munich,461.418,295.0,14.765
50,Munster,Frankfurt-am-Main,241.713,389.0,7.735
51,Stuttgart,Frankfurt-am-Main,156.642,295.0,5.013
52,Friedrichshafen,Frankfurt-am-Main,271.501,389.0,8.688
53,Munich,Munster,511.488,389.0,16.368
54,Frankfurt-am-Main,Hannover,280.756,295.0,8.984
55,Frankfurt-am-Main,Dresden,386.746,295.0,12.376
56,Hamburg,Cologne,363.277,295.0,11.625
57,Kassel,Hamburg,248.965,389.0,7.967
58,Dusseldorf,Hamburg,340.787,295.0,10.905
59,Frankfurt-am-Main,Leipzig,300.753,295.0,9.624
60,Munich,Bremen,562.91,295.0,18.013
61,Frankfurt-am-Main,Stuttgart,156.642,295.0,5.013
62,Stuttgart,Dresden,423.947,295.0,13.566
63,Nuremberg,Berlin,373.772,295.0,11.961
64,Frankfurt-am-Main,Nuremberg,189.644,295.0,6.069
65,Stuttgart,Braunschweig,414.484,389.0,13.263
66,Stuttgart,Leipzig,372.387,295.0,11.916
67,Saarbrucken,Hamburg,529.934,389.0,16.958
68,Hamburg,Stuttgart,551.919,295.0,17.661
69,Friedrichshafen,Dusseldorf,447.894,389.0,14.333
70,Stuttgart,Bremen,485.492,295.0,15.536
71,Friedrichshafen,Hamburg,663.448,389.0,21.23
72,Stuttgart,Hamburg,551.919,295.0,17.661
73,Munich,Dresden,340.373,295.0,10.892
74,Munich,Paderborn,427.442,389.0,13.678
75,Munich,Leipzig,342.888,295.0,10.972
76,Munich,Stuttgart,192.499,295.0,6.16
77,Dresden,Cologne,464.421,295.0,14.861
78,Hannover,Stuttgart,420.5,295.0,13.456
79,Nuremberg,Hamburg,465.54,295.0,14.897
80,Munich,Nuremberg,137.395,295.0,4.397
81,Stuttgart,Hahn,199.236,389.0,6.376
82,Leipzig,Dusseldorf,380.742,295.0,12.184
83,Munich,Dortmund,461.418,295.0,14.765
84,Munich,Lahr,292.418,389.0,9.357
85,Baden-Baden,Berlin,557.711,389.0,17.847
86,Berlin,Nuremberg,373.772,295.0,11.961
87,Berlin,Saarbrucken,570.784,389.0,18.265
88,Cologne,Hamburg,363.277,295.0,11.625
89,Bremen,Stuttgart,485.492,295.0,15.536
90,Dresden,Stuttgart,423.947,295.0,13.566
91,Hamburg,Friedrichshafen,663.448,389.0,21.23
92,Frankfurt-am-Main,Munster,241.713,389.0,7.735
93,Frankfurt-am-Main,Friedrichshafen,271.501,389.0,8.688
94,Hamburg,Saarbrucken,529.934,389.0,16.958
95,Frankfurt-am-Main,Dusseldorf,188.621,295.0,6.036
96,Nuremberg,Munich,137.395,295.0,4.397
97,Dusseldorf,Friedrichshafen,447.894,389.0,14.333
98,Frankfurt-am-Main,Paderborn,175.811,389.0,5.626
99,Berlin,Leipzig,135.686,295.0,4.342
100,Dusseldorf,Dresden,488.487,295.0,15.632
101,Paderborn,Munster,86.261,389.0,2.76
102,Egelsbach,Trebbin,402.162,389.0,12.869
103,Paderborn,Frankfurt-am-Main,175.811,389.0,5.626
104,Munster,Westerland,311.826,389.0,9.978
105,Frankfurt-am-Main,Westerland,542.667,389.0,17.365
106,Dusseldorf,Nuremberg,364.744,295.0,11.672
107,Speyer,Cologne,197.352,389.0,6.315
108,Dusseldorf,Hannover,239.902,295.0,7.677
109,Dresden,Dusseldorf,488.487,295.0,15.632
110,Mannheim,Hamburg,473.369,389.0,15.148
111,Berlin,Oberpfaffenhofen,501.407,389.0,16.045
112,Nuremberg,Dusseldorf,364.744,295.0,11.672
113,Kassel,Munster,141.772,389.0,4.537
114,Hamburg,Mannheim,473.369,389.0,15.148
115,Oberpfaffenhofen,Hamburg,623.638,389.0,19.956
116,Braunschweig,Stuttgart,414.484,389.0,13.263
117,Mannheim,Berlin,478.686,389.0,15.318
118,Munster,Stuttgart,398.198,389.0,12.742
119,Hahn,Stuttgart,199.236,389.0,6.376
120,Dusseldorf,Monchengladbach,18.467,389.0,0.591
121,Berlin,Mannheim,478.686,389.0,15.318
122,Stuttgart,Munster,398.198,389.0,12.742
123,Cologne,Dusseldorf,53.433,295.0,1.71
124,Frankfurt-am-Main,Saarbrucken,139.166,389.0,4.453
125,Berlin,Hamburg,250.379,295.0,8.012
126,Speyer,Hamburg,492.859,389.0,15.771
127,Cologne,Monchengladbach,60.278,389.0,1.929
128,Zweibrucken,Saarbrucken,21.154,389.0,0.677
129,Saarbrucken,Zweibrucken,21.154,389.0,0.677
130,Westerland,Hamburg,178.098,389.0,5.699
131,Westerland,Berlin,442.525,389.0,14.161
132,Dortmund,Berlin,414.28,295.0,13.257
133,Hamburg,Westerland,178.098,389.0,5.699
