,AC_type,capacity
0,PC12,9
1,A333,335
2,E55P,9
3,B462,100
4,B752,228
5,B737,149
6,A319,142
7,A320,180
8,B748,467
9,J328,32
10,A332,293
11,CRJ7,70
12,B744,524
13,B763,351
14,CRJ2,50
15,D328,39
16,F406,8
17,A20N,194
18,E190,114
19,E120,30
20,C680,12
21,C25A,9
22,D228,19
23,E195,124
24,GLF5,19
25,B38M,178
26,B788,250
27,B733,149
28,SF34,34
29,AT43,50
30,BE40,8
31,JS32,19
32,B738,167
33,B77L,440
34,B772,440
35,B753,280
36,BE20,13
37,A343,335
38,A306,298
39,A388,853
40,CRJX,104
41,B734,168
42,A321,220
43,A346,419
44,E170,80
45,CRJ9,90
46,B762,255
47,C310,5
48,DH8D,78
49,C208,14
50,AT72,72
51,B736,132
