,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
0,Hannover,Hamburg,131.683,2618.0,0.658
1,Hannover,Munich,480.251,2618.0,2.401
2,Munster,Munich,511.488,1815.0,2.557
3,Stuttgart,Berlin,516.935,2618.0,2.585
4,Dresden,Munich,340.373,2618.0,1.702
5,Bremen,Munich,562.91,2618.0,2.815
6,Stuttgart,Munich,192.499,2618.0,0.962
7,Hamburg,Frankfurt-am-Main,411.635,2618.0,2.058
8,Paderborn,Munich,427.442,1815.0,2.137
9,Cologne,Berlin,463.183,2618.0,2.316
10,Frankfurt-am-Main,Berlin,431.689,2618.0,2.158
11,Hannover,Frankfurt-am-Main,280.756,2618.0,1.404
12,Munich,Berlin,479.569,2618.0,2.398
13,Frankfurt-am-Main,Munich,299.073,2618.0,1.495
14,Cologne,Munich,435.688,2618.0,2.178
15,Berlin,Munich,479.569,2618.0,2.398
16,Hamburg,Munich,599.997,2618.0,3.0
17,Munich,Hamburg,599.997,2618.0,3.0
18,Dusseldorf,Frankfurt-am-Main,188.621,2618.0,0.943
19,Berlin,Dusseldorf,469.707,2618.0,2.349
20,Dusseldorf,Berlin,469.707,2618.0,2.349
21,Munich,Cologne,435.688,2618.0,2.178
22,Dusseldorf,Stuttgart,337.664,2618.0,1.688
23,Dusseldorf,Munich,485.703,2618.0,2.429
24,Leipzig,Frankfurt-am-Main,300.753,2618.0,1.504
25,Frankfurt-am-Main,Hamburg,411.635,2618.0,2.058
26,Berlin,Frankfurt-am-Main,431.689,2618.0,2.158
27,Nuremberg,Frankfurt-am-Main,189.644,2618.0,0.948
28,Berlin,Stuttgart,516.935,2618.0,2.585
29,Berlin,Baden-Baden,557.711,1815.0,2.789
30,Dresden,Frankfurt-am-Main,386.746,2618.0,1.934
31,Munich,Hannover,480.251,2618.0,2.401
32,Hamburg,Nuremberg,465.54,2618.0,2.328
33,Cologne,Dresden,464.421,2618.0,2.322
34,Cologne,Leipzig,360.623,2618.0,1.803
35,Bremen,Frankfurt-am-Main,335.494,2618.0,1.677
36,Dusseldorf,Leipzig,380.742,2618.0,1.904
37,Berlin,Cologne,463.183,2618.0,2.316
38,Stuttgart,Hannover,420.5,2618.0,2.102
39,Hamburg,Dusseldorf,340.787,2618.0,1.704
40,Munich,Dusseldorf,485.703,2618.0,2.429
41,Stuttgart,Dusseldorf,337.664,2618.0,1.688
42,Saarbrucken,Berlin,570.784,1815.0,2.854
43,Frankfurt-am-Main,Bremen,335.494,2618.0,1.677
44,Dortmund,Munich,461.418,2618.0,2.307
45,Munster,Frankfurt-am-Main,241.713,1815.0,1.209
46,Stuttgart,Frankfurt-am-Main,156.642,2618.0,0.783
47,Friedrichshafen,Frankfurt-am-Main,271.501,1815.0,1.358
48,Munich,Munster,511.488,1815.0,2.557
49,Frankfurt-am-Main,Hannover,280.756,2618.0,1.404
50,Frankfurt-am-Main,Dresden,386.746,2618.0,1.934
51,Hamburg,Cologne,363.277,2618.0,1.816
52,Munich,Frankfurt-am-Main,299.073,2618.0,1.495
53,Kassel,Hamburg,248.965,1815.0,1.245
54,Dusseldorf,Hamburg,340.787,2618.0,1.704
55,Frankfurt-am-Main,Leipzig,300.753,2618.0,1.504
56,Munich,Bremen,562.91,2618.0,2.815
57,Frankfurt-am-Main,Stuttgart,156.642,2618.0,0.783
58,Stuttgart,Dresden,423.947,2618.0,2.12
59,Nuremberg,Berlin,373.772,2618.0,1.869
60,Frankfurt-am-Main,Nuremberg,189.644,2618.0,0.948
61,Stuttgart,Leipzig,372.387,2618.0,1.862
62,Saarbrucken,Hamburg,529.934,1815.0,2.65
63,Hamburg,Stuttgart,551.919,2618.0,2.76
64,Friedrichshafen,Dusseldorf,447.894,1815.0,2.239
65,Stuttgart,Bremen,485.492,2618.0,2.427
66,Friedrichshafen,Hamburg,663.448,1815.0,3.317
67,Stuttgart,Hamburg,551.919,2618.0,2.76
68,Munich,Dresden,340.373,2618.0,1.702
69,Munich,Paderborn,427.442,1815.0,2.137
70,Munich,Leipzig,342.888,2618.0,1.714
71,Munich,Stuttgart,192.499,2618.0,0.962
72,Leipzig,Cologne,360.623,2618.0,1.803
73,Dresden,Cologne,464.421,2618.0,2.322
74,Hannover,Stuttgart,420.5,2618.0,2.102
75,Nuremberg,Hamburg,465.54,2618.0,2.328
76,Munich,Nuremberg,137.395,2618.0,0.687
77,Stuttgart,Hahn,199.236,1815.0,0.996
78,Leipzig,Dusseldorf,380.742,2618.0,1.904
79,Munich,Dortmund,461.418,2618.0,2.307
80,Baden-Baden,Berlin,557.711,1815.0,2.789
81,Berlin,Nuremberg,373.772,2618.0,1.869
82,Berlin,Saarbrucken,570.784,1815.0,2.854
83,Leipzig,Stuttgart,372.387,2618.0,1.862
84,Cologne,Hamburg,363.277,2618.0,1.816
85,Bremen,Stuttgart,485.492,2618.0,2.427
86,Dresden,Stuttgart,423.947,2618.0,2.12
87,Hamburg,Friedrichshafen,663.448,1815.0,3.317
88,Frankfurt-am-Main,Munster,241.713,1815.0,1.209
89,Frankfurt-am-Main,Friedrichshafen,271.501,1815.0,1.358
90,Hamburg,Saarbrucken,529.934,1815.0,2.65
91,Frankfurt-am-Main,Dusseldorf,188.621,2618.0,0.943
92,Leipzig,Munich,342.888,2618.0,1.714
93,Nuremberg,Munich,137.395,2618.0,0.687
94,Dusseldorf,Friedrichshafen,447.894,1815.0,2.239
95,Frankfurt-am-Main,Paderborn,175.811,1815.0,0.879
96,Dusseldorf,Dresden,488.487,2618.0,2.442
97,Paderborn,Frankfurt-am-Main,175.811,1815.0,0.879
98,Dusseldorf,Nuremberg,364.744,2618.0,1.824
99,Dresden,Dusseldorf,488.487,2618.0,2.442
100,Mannheim,Hamburg,473.369,1815.0,2.367
101,Nuremberg,Dusseldorf,364.744,2618.0,1.824
102,Hamburg,Mannheim,473.369,1815.0,2.367
103,Mannheim,Berlin,478.686,1815.0,2.393
104,Munster,Stuttgart,398.198,1815.0,1.991
105,Hahn,Stuttgart,199.236,1815.0,0.996
106,Berlin,Mannheim,478.686,1815.0,2.393
107,Stuttgart,Munster,398.198,1815.0,1.991
108,Cologne,Dusseldorf,53.433,2618.0,0.267
109,Berlin,Hamburg,250.379,2618.0,1.252
110,Dortmund,Berlin,414.28,2618.0,2.071
111,Paderborn,Dusseldorf,134.062,1815.0,0.67
112,Leipzig,Berlin,145.371,2618.0,0.727
113,Leipzig,Kassel,197.198,1815.0,0.986
114,Hannover,Berlin,244.14,2618.0,1.221
115,Dusseldorf,Westerland,417.347,1815.0,2.087
116,Westerland,Dusseldorf,417.347,1815.0,2.087
117,Berlin,Munster,383.418,1815.0,1.917
118,Saarbrucken,Kassel,294.011,1815.0,1.47
119,Paderborn,Berlin,335.974,1815.0,1.68
120,Hannover,Hannover,0.0,2618.0,0.0
121,Frankfurt-am-Main,Frankfurt-am-Main,0.0,2618.0,0.0
122,Nuremberg,Hannover,343.47,2618.0,1.717
123,Dresden,Berlin,161.881,2618.0,0.809
124,Berlin,Paderborn,335.974,1815.0,1.68
125,Munich,Munich,0.0,2618.0,0.0
126,Hannover,Leipzig,209.505,2618.0,1.048
127,Cologne,Hannover,249.26,2618.0,1.246
128,Dusseldorf,Dusseldorf,0.0,2618.0,0.0
129,Saarbrucken,Hannover,403.594,1815.0,2.018
130,Berlin,Berlin,26.27,2618.0,0.131
131,Hannover,Saarbrucken,403.594,1815.0,2.018
132,Augsburg,Leipzig,346.25,1815.0,1.731
133,Hamburg,Hannover,131.683,2618.0,0.658
134,Leipzig,Augsburg,346.25,1815.0,1.731
135,Hannover,Cologne,249.26,2618.0,1.246
136,Hannover,Nuremberg,343.47,2618.0,1.717
137,Hannover,Dusseldorf,239.902,2618.0,1.2
138,Munster,Cologne,145.995,1815.0,0.73
139,Cologne,Cologne,0.0,2618.0,0.0
140,Dusseldorf,Hannover,239.902,2618.0,1.2
141,Kassel,Munster,141.772,1815.0,0.709
142,Munster,Kassel,141.772,1815.0,0.709
143,Stuttgart,Stuttgart,0.0,2618.0,0.0
144,Munich,Hahn,373.602,1815.0,1.868
145,Hannover,Augsburg,457.275,1815.0,2.286
146,Hamburg,Kassel,248.965,1815.0,1.245
147,Augsburg,Hannover,457.275,1815.0,2.286
148,Essen,Leipzig,367.439,2618.0,1.837
149,Hamburg,Berlin,250.379,2618.0,1.252
150,Berlin,Hannover,244.14,2618.0,1.221
151,Cologne,Stuttgart,284.269,2618.0,1.421
152,Mannheim,Munich,269.504,1815.0,1.348
153,Munich,Braunschweig,449.451,1815.0,2.247
154,Braunschweig,Mannheim,347.468,1815.0,1.737
155,Hamburg,Hamburg,0.0,2618.0,0.0
156,Munster,Paderborn,86.261,1815.0,0.431
157,Dusseldorf,Munster,114.451,1815.0,0.572
158,Paderborn,Braunschweig,154.46,1815.0,0.772
159,Monchengladbach,Altenburg,419.83,1815.0,2.099
160,Altenburg,Cologne,376.085,1815.0,1.88
161,Dortmund,Hamburg,284.45,2618.0,1.422
162,Hamburg,Hahn,450.512,1815.0,2.253
163,Hahn,Hannover,326.543,1815.0,1.633
164,Cologne,Frankfurt-am-Main,137.068,2618.0,0.685
165,Hahn,Frankfurt-am-Main,94.116,1815.0,0.471
166,Munster,Oberpfaffenhofen,518.49,1815.0,2.592
167,Munster,Dusseldorf,114.451,1815.0,0.572
168,Oberpfaffenhofen,Munster,518.49,1815.0,2.592
169,Hannover,Paderborn,119.079,1815.0,0.595
170,Hamburg,Dortmund,284.45,2618.0,1.422
171,Dusseldorf,Cologne,53.433,2618.0,0.267
172,Baden-Baden,Dusseldorf,293.753,1815.0,1.469
173,Braunschweig,Paderborn,154.46,1815.0,0.772
174,Paderborn,Hannover,119.079,1815.0,0.595
175,Hannover,Baden-Baden,424.6,1815.0,2.123
176,Frankfurt-am-Main,Cologne,137.068,2618.0,0.685
177,Schwabisch Hall,Schwabisch Hall,0.0,1815.0,0.0
