AC Type,Masse,Impact CO2 construction
B734,60000,2400000
B733,60000,2400000
A332,200000,8000000
B77L,300000,12000000
B762,170000,6800000
A306,150000,6000000
B738,60000,2400000
A320,60000,2400000
B752,100000,4000000
E190,40000,1600000
A319,60000,2400000
CRJ9,30000,1200000
A20N,60000,2400000
A321,60000,2400000
DH8D,25000,1000000
CRJ7,25000,1000000
D328,10000,400000
J328,10000,400000
E55P,9000,360000
C25A,4000,160000
E195,50000,2000000
C680,10000,400000
JS32,5000,200000
B744,380000,15200000
AT72,20000,800000
D228,5000,200000
B788,200000,8000000
BE20,5000,200000
B737,60000,2400000
E170,40000,1600000
B38M,60000,2400000
BE40,6000,240000
B763,60000,2400000
AT43,10000,400000
C208,3000,120000
E120,10000,400000
B748,380000,15200000
F406,4000,160000
B462,30000,1200000
A388,400000,16000000
A343,260000,10400000
SF34,10000,400000
B753,100000,4000000
B736,70000,2800000
CRJ2,20000,800000
GLF5,30000,1200000
B772,300000,12000000
A333,180000,7200000
PC12,4000,160000
C310,2000,80000
A346,300000,12000000
CRJX,20000,800000
